block,feature_set,n_features,feature_cols,zone,C,n,auc,auc_ci_lo,auc_ci_hi,ref_auc,delta_vs_ref,ci_strictly_above_ref,ci_strictly_below_ref,candidate_revision
B_sig,"sig{0.50,1.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_3.00",pooled,0.1,149,0.7919724770642202,0.6983836610028668,0.8695210294292863,0.9011467889908257,-0.10917431192660543,False,False,False
B_sig,"sig{0.50,1.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_3.00",pooled,1.0,149,0.7860091743119267,0.6969109833600984,0.8661721173563278,0.8986238532110091,-0.11261467889908239,False,False,False
B_sig,"sig{0.50,1.00,3.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_3.00",pooled,10.0,149,0.7848623853211011,0.7008870115852869,0.8590203113748665,0.8963302752293578,-0.11146788990825673,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pz,0.1,81,0.8065843621399177,0.7009564296251927,0.9018315475593027,0.934156378600823,-0.12757201646090532,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pz,1.0,81,0.8031550068587107,0.6987062211981567,0.9022103786044464,0.9327846364883402,-0.12962962962962954,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pz,10.0,81,0.7956104252400549,0.6727028574873402,0.8936950212373941,0.9286694101508915,-0.13305898491083668,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",tz,0.1,68,0.8293706293706292,0.6838871473354233,0.9529397453572298,0.937062937062937,-0.10769230769230775,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",tz,1.0,68,0.8293706293706294,0.6745992063492063,0.9490031897926634,0.9370629370629371,-0.10769230769230764,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",tz,10.0,68,0.8251748251748252,0.6710310002497503,0.9510649184521907,0.9272727272727272,-0.10209790209790204,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pooled,0.1,149,0.7944954128440367,0.7097037972724143,0.8685500157044309,0.9011467889908257,-0.10665137614678899,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pooled,1.0,149,0.7873853211009175,0.6981123690498691,0.8657547604422604,0.8986238532110091,-0.1112385321100916,False,False,False
B_sig,"sig{0.50,1.00,20.00}",3,"nuts_std_D_0.50,nuts_std_D_1.00,nuts_std_D_20.00",pooled,10.0,149,0.7848623853211009,0.7048081457353584,0.8588363171355499,0.8963302752293578,-0.11146788990825696,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pz,0.1,81,0.8381344307270233,0.7434212474040033,0.9187203721415529,0.934156378600823,-0.0960219478737997,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pz,1.0,81,0.8353909465020576,0.7313495521665457,0.9167966506942608,0.9327846364883402,-0.09739368998628262,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pz,10.0,81,0.8326474622770919,0.7378372877122877,0.9173997822353085,0.9286694101508915,-0.0960219478737997,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",tz,0.1,68,0.8377622377622378,0.6620266753415744,0.9650560251240694,0.937062937062937,-0.09930069930069918,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",tz,1.0,68,0.8321678321678322,0.6487872023809524,0.9608741258741258,0.9370629370629371,-0.1048951048951049,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",tz,10.0,68,0.8125874125874126,0.6256498253208779,0.958994708994709,0.9272727272727272,-0.11468531468531462,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pooled,0.1,149,0.796559633027523,0.7073499960731956,0.8684303037901107,0.9011467889908257,-0.1045871559633027,False,False,False
B_sig,"sig{0.50,1.50,2.00}",3,"nuts_std_D_0.50,nuts_std_D_1.50,nuts_std_D_2.00",pooled,1.0,149,0.7922018348623853,0.7017583120204604,0.8743469453201758,0.8986238532110091,-0.10642201834862386,False,False,False
