task,method,C,auc,auc_lo,auc_hi,n
PZ,NUTS Full LR,1.0,0.9259259259259258,0.8541063573151695,0.9830549958516059,81
PZ,"MAP 2-feat {0.25,3.0}",1.0,0.9252400548696844,0.8587199257514101,0.9787934441869973,81
PZ,"NUTS 2-feat {0.25,3.0}",1.0,0.9327846364883402,0.8635111699000586,0.9834579626603729,81
PZ,MAP 5-inner,1.0,0.8333333333333334,0.7276862221785595,0.9269029428409733,81
PZ,NUTS 5-inner,1.0,0.8182441700960219,0.7180125697231786,0.9087977660199882,81
PZ,MAP 4-poorly-id (CV>0.7),1.0,0.836076817558299,0.7399847198641767,0.9237818195703085,81
PZ,NUTS 4-poorly-id (CV>0.7),1.0,0.8161865569272977,0.7082016676088185,0.9118013040183205,81
PZ,ADC (LR),10.0,0.9368998628257887,0.8699278499278499,0.9910872861165257,81
PZ,MAP Full LR,10.0,0.897119341563786,0.7975992063492066,0.9814383116883116,81
PZ,NUTS Full LR,10.0,0.9135802469135802,0.8278542626728111,0.982020765223857,81
PZ,"MAP 2-feat {0.25,3.0}",10.0,0.9197530864197531,0.8483433034230642,0.9772743886230727,81
PZ,"NUTS 2-feat {0.25,3.0}",10.0,0.9286694101508915,0.8533109116288023,0.9834579626603729,81
PZ,MAP 5-inner,10.0,0.8333333333333333,0.7270939580133127,0.9264537408714998,81
PZ,NUTS 5-inner,10.0,0.8161865569272977,0.7120718113165638,0.9067215363511659,81
PZ,MAP 4-poorly-id (CV>0.7),10.0,0.8305898491083676,0.731425015372972,0.9192309827338472,81
PZ,NUTS 4-poorly-id (CV>0.7),10.0,0.8168724279835391,0.7083139920424404,0.9108367626886145,81
TZ,ADC (raw rank),-,0.979020979020979,0.9391361416361417,1.0,68
TZ,MAP D=0.25,-,0.9356643356643356,0.8395758928571428,0.9962264150943396,68
TZ,MAP D=0.50,-,0.6657342657342658,0.461571274146451,0.8524650349650349,68
TZ,MAP D=0.75,-,0.6671328671328672,0.4817295597484276,0.8373250598086125,68
TZ,MAP D=1.00,-,0.6797202797202797,0.5029489555256065,0.8377837902837902,68
TZ,MAP D=1.50,-,0.5062937062937063,0.2946205357142857,0.7256824368916021,68
TZ,MAP D=2.00,-,0.841958041958042,0.6802786044973546,0.981068369117328,68
TZ,MAP D=3.00,-,0.9440559440559441,0.8635863934389545,0.9948275862068965,68
TZ,MAP D=20.00,-,0.5503496503496503,0.3464840597255851,0.7523649744546265,68
TZ,NUTS D=0.25,-,0.9076923076923077,0.7815431297813099,0.994977243603906,68
TZ,NUTS D=0.50,-,0.8531468531468532,0.7216423160173159,0.9531615925058547,68
TZ,NUTS D=0.75,-,0.8461538461538463,0.7080877879182963,0.9538461538461538,68
TZ,NUTS D=1.00,-,0.8307692307692308,0.6916477272727273,0.9426586174242424,68
TZ,NUTS D=1.50,-,0.5454545454545454,0.3645833333333333,0.7293315544608646,68
TZ,NUTS D=2.00,-,0.7916083916083917,0.6299751905015063,0.9204237122151856,68
TZ,NUTS D=3.00,-,0.9020979020979021,0.8111888111888113,0.9699590773809523,68
TZ,NUTS D=20.00,-,0.5454545454545455,0.3389762165117551,0.75,68
TZ,ADC (LR),0.1,0.9594405594405595,0.888038210042927,1.0,68
TZ,MAP Full LR,0.1,0.9342657342657342,0.8261482977654895,1.0,68
TZ,NUTS Full LR,0.1,0.9216783216783218,0.807852379629262,0.9984077736956027,68
TZ,"MAP 2-feat {0.25,3.0}",0.1,0.965034965034965,0.9047505126452495,1.0,68
TZ,"NUTS 2-feat {0.25,3.0}",0.1,0.937062937062937,0.8465231918238995,0.9946314198193897,68
TZ,MAP 5-inner,0.1,0.8279720279720281,0.6534755639840385,0.9663501794258373,68
TZ,NUTS 5-inner,0.1,0.8083916083916084,0.6411196172248804,0.9359757251371882,68
TZ,MAP 4-poorly-id (CV>0.7),0.1,0.7776223776223776,0.6237286931818182,0.9077044025157233,68
TZ,NUTS 4-poorly-id (CV>0.7),0.1,0.8181818181818182,0.6573315047021944,0.9408929733246584,68
TZ,ADC (LR),1.0,0.9636363636363636,0.8968669181034482,1.0,68
TZ,MAP Full LR,1.0,0.9524475524475524,0.8761934267241379,1.0,68
TZ,NUTS Full LR,1.0,0.9230769230769231,0.8083572567783094,1.0,68
TZ,"MAP 2-feat {0.25,3.0}",1.0,0.965034965034965,0.9047505126452495,1.0,68
TZ,"NUTS 2-feat {0.25,3.0}",1.0,0.9370629370629371,0.8511739417989418,0.993103448275862,68
TZ,MAP 5-inner,1.0,0.9076923076923077,0.7702448210922788,1.0,68
TZ,NUTS 5-inner,1.0,0.7958041958041958,0.6195631313131312,0.9310390439700784,68
TZ,MAP 4-poorly-id (CV>0.7),1.0,0.8755244755244754,0.7664628663030516,0.9568465209359607,68
TZ,NUTS 4-poorly-id (CV>0.7),1.0,0.8111888111888111,0.646541777188329,0.9378550555230858,68
TZ,ADC (LR),10.0,0.9622377622377623,0.8943450977088948,1.0,68
TZ,MAP Full LR,10.0,0.9496503496503497,0.8757062146892656,1.0,68
TZ,NUTS Full LR,10.0,0.9090909090909091,0.7815161392280036,0.9985119047619048,68
TZ,"MAP 2-feat {0.25,3.0}",10.0,0.9608391608391609,0.8968173493173494,0.9999999999999999,68
TZ,"NUTS 2-feat {0.25,3.0}",10.0,0.9272727272727272,0.8309346598820284,0.993103448275862,68
TZ,MAP 5-inner,10.0,0.9104895104895105,0.7790674603174603,1.0,68
TZ,NUTS 5-inner,10.0,0.7846153846153847,0.6088925887978143,0.9227904307909605,68
TZ,MAP 4-poorly-id (CV>0.7),10.0,0.8811188811188811,0.78125,0.960129085754625,68
TZ,NUTS 4-poorly-id (CV>0.7),10.0,0.8041958041958042,0.6437276785714287,0.9275909961685823,68
GGG,ADC (raw rank),-,0.8111111111111111,0.6029038789428814,0.9762301587301585,29
GGG,MAP D=0.25,-,0.8388888888888889,0.6514114832535886,0.9789473684210527,29
GGG,MAP D=0.50,-,0.6722222222222222,0.4444444444444444,0.8896201298701298,29
GGG,MAP D=0.75,-,0.5,0.2892075163398693,0.7000324675324674,29
GGG,MAP D=1.00,-,0.6444444444444444,0.4404642857142857,0.8421310629514963,29
GGG,MAP D=1.50,-,0.7055555555555555,0.4444444444444445,0.948051948051948,29
GGG,MAP D=2.00,-,0.7166666666666667,0.5051315789473685,0.9222321428571428,29
GGG,MAP D=3.00,-,0.5944444444444444,0.35710851648351644,0.8274859022556385,29
GGG,MAP D=20.00,-,0.6888888888888889,0.4754779411764706,0.8701623376623374,29
GGG,NUTS D=0.25,-,0.8166666666666667,0.605228981544771,1.0,29
GGG,NUTS D=0.50,-,0.7222222222222222,0.5323998917748919,0.8928968253968251,29
GGG,NUTS D=0.75,-,0.6722222222222223,0.47023809523809523,0.8526315789473684,29
GGG,NUTS D=1.00,-,0.5833333333333333,0.35116071428571427,0.7952846790890267,29
GGG,NUTS D=1.50,-,0.7055555555555556,0.47974747474747476,0.9155895420369105,29
GGG,NUTS D=2.00,-,0.7777777777777778,0.5724577294685991,0.9404761904761905,29
GGG,NUTS D=3.00,-,0.5666666666666667,0.32605978260869567,0.8055555555555556,29
GGG,NUTS D=20.00,-,0.6888888888888889,0.4746645021645021,0.870131431068931,29
GGG,ADC (LR),0.1,0.7055555555555555,0.4600000000000001,0.9058605072463765,29
GGG,MAP Full LR,0.1,0.6777777777777777,0.42000000000000004,0.9055615942028985,29
GGG,NUTS Full LR,0.1,0.7388888888888889,0.5083061594202898,0.9285714285714286,29
GGG,"MAP 2-feat {0.25,3.0}",0.1,0.6777777777777778,0.4249519230769231,0.892174369747899,29
GGG,"NUTS 2-feat {0.25,3.0}",0.1,0.65,0.37365583075335396,0.8974999999999995,29
GGG,MAP 5-inner,0.1,0.6055555555555556,0.3431004901960784,0.8555952380952379,29
