block,feature_set,n_features,feature_cols,zone,n,spearman_rho,spearman_p,rho_ci_lo,rho_ci_hi,adc_rho,abs_rho_gt_abs_adc,abs_rho
A_mu,"mu{0.25,3.00}",2,"nuts_D_0.25,nuts_D_3.00",pooled,29,0.2819364422410918,0.1384098503199832,-0.1331910634012912,0.6377608067341612,-0.5462518568421153,False,0.2819364422410918
A_mu,"mu{0.25,20.00}",2,"nuts_D_0.25,nuts_D_20.00",pz,21,0.22952483671931567,0.31689748993632044,-0.2449478711721338,0.6044314639312931,-0.4801069979082933,False,0.22952483671931567
A_mu,"mu{0.25,20.00}",2,"nuts_D_0.25,nuts_D_20.00",tz,8,0.6997157779998369,0.053362469677282115,0.09592549000150068,0.9607815878580681,-0.6137857701752955,True,0.6997157779998369
A_mu,"mu{0.25,20.00}",2,"nuts_D_0.25,nuts_D_20.00",pooled,29,0.4879469859742426,0.00724784208675191,0.17502194182100314,0.7121766682684891,-0.5462518568421153,False,0.4879469859742426
A_mu,"mu{0.50,0.75}",2,"nuts_D_0.50,nuts_D_0.75",pz,21,-0.26111082342380865,0.25292944652987165,-0.6635952583756897,0.30550324190740413,-0.4801069979082933,False,0.26111082342380865
A_mu,"mu{0.50,0.75}",2,"nuts_D_0.50,nuts_D_0.75",tz,8,-0.6260614855788014,0.09680053497397738,-0.9792364931869324,0.27686587135833063,-0.6137857701752955,True,0.6260614855788014
A_mu,"mu{0.50,0.75}",2,"nuts_D_0.50,nuts_D_0.75",pooled,29,0.41694460989514404,0.024440082545727698,0.07402291425583164,0.6316403281615225,-0.5462518568421153,False,0.41694460989514404
A_mu,"mu{0.50,1.00}",2,"nuts_D_0.50,nuts_D_1.00",pz,21,-0.42184840020889514,0.056808049367208645,-0.7894153742274839,0.06922932185954518,-0.4801069979082933,False,0.42184840020889514
A_mu,"mu{0.50,1.00}",2,"nuts_D_0.50,nuts_D_1.00",tz,8,-0.20868716185960046,0.6199236393861473,-0.8113989082127713,0.8466023627266794,-0.6137857701752955,False,0.20868716185960046
A_mu,"mu{0.50,1.00}",2,"nuts_D_0.50,nuts_D_1.00",pooled,29,0.35397534935784136,0.059581271841953,0.04056547080322208,0.6143665636728626,-0.5462518568421153,False,0.35397534935784136
A_mu,"mu{0.50,1.50}",2,"nuts_D_0.50,nuts_D_1.50",pz,21,-0.1445936280250123,0.5317495388430933,-0.5598427598357898,0.3185169842565349,-0.4801069979082933,False,0.1445936280250123
A_mu,"mu{0.50,1.50}",2,"nuts_D_0.50,nuts_D_1.50",tz,8,-0.33144431589465956,0.422555590022422,-0.8131401491566347,0.5900962334877381,-0.6137857701752955,False,0.33144431589465956
A_mu,"mu{0.50,1.50}",2,"nuts_D_0.50,nuts_D_1.50",pooled,29,0.23140555415560202,0.22711661710163622,-0.12937592484605098,0.5504344565957262,-0.5462518568421153,False,0.23140555415560202
A_mu,"mu{0.50,2.00}",2,"nuts_D_0.50,nuts_D_2.00",pz,21,0.2983120966535448,0.18902272867129288,-0.1730511935396761,0.6989605347583294,-0.4801069979082933,False,0.2983120966535448
A_mu,"mu{0.50,2.00}",2,"nuts_D_0.50,nuts_D_2.00",tz,8,-0.687440062596331,0.059561396500617064,-0.9792700977495321,0.10526315789473686,-0.6137857701752955,True,0.687440062596331
A_mu,"mu{0.50,2.00}",2,"nuts_D_0.50,nuts_D_2.00",pooled,29,0.34516483553780725,0.06667934172123453,-0.024085310127535446,0.6425817606515524,-0.5462518568421153,False,0.34516483553780725
A_mu,"mu{0.50,3.00}",2,"nuts_D_0.50,nuts_D_3.00",pz,21,-0.3298980833580378,0.1441623380480507,-0.695653932791083,0.22037285608048138,-0.4801069979082933,False,0.3298980833580378
A_mu,"mu{0.50,3.00}",2,"nuts_D_0.50,nuts_D_3.00",tz,8,-0.6506129163858132,0.0806376088345106,-0.9624383635577411,0.10526315789473686,-0.6137857701752955,True,0.6506129163858132
A_mu,"mu{0.50,3.00}",2,"nuts_D_0.50,nuts_D_3.00",pooled,29,0.2446213248856532,0.2009266826642773,-0.09058538713660998,0.5223703528096054,-0.5462518568421153,False,0.2446213248856532
A_mu,"mu{0.50,20.00}",2,"nuts_D_0.50,nuts_D_20.00",pz,21,-0.25198598282028845,0.2704885874503861,-0.6348995861996675,0.32687105650485865,-0.4801069979082933,False,0.25198598282028845
A_mu,"mu{0.50,20.00}",2,"nuts_D_0.50,nuts_D_20.00",tz,8,0.8347486474384018,0.009929687100611161,0.32613175697763225,0.9932292111608748,-0.6137857701752955,True,0.8347486474384018
A_mu,"mu{0.50,20.00}",2,"nuts_D_0.50,nuts_D_20.00",pooled,29,0.35008835796664983,0.06263612283301398,-0.001743583358672414,0.6233107554007957,-0.5462518568421153,False,0.35008835796664983
A_mu,"mu{0.75,1.00}",2,"nuts_D_0.75,nuts_D_1.00",pz,21,-0.3523592294590106,0.1172152265808804,-0.7688681082494961,0.26797754159304904,-0.4801069979082933,False,0.3523592294590106
