roi_id,mode,bin,D,R_mean,R_std,R_q05,R_q95,sigma_mean,sigma_std
new35_pz_normal,fixed_formula,1,0.5,0.017186135334198865,0.014652830060506215,0.0009863401419623375,0.046637454570958366,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,2,0.75,0.017769107829967584,0.01565537473227579,0.0009200184234500878,0.04986552653104964,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,3,1.0,0.024690156753542164,0.02100457058179374,0.0012542688495135199,0.06686687378207362,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,4,1.5,0.07853181128294222,0.06376900139808027,0.004968368383103534,0.20457649005960582,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,5,2.0,0.29979361423910705,0.10879938797376498,0.09759991527623843,0.4585086692476587,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,6,3.0,0.4639170167852123,0.06659118065774479,0.35899862884195904,0.5773645749898686,0.0023036491348836,0.0
new35_pz_normal,fixed_formula,7,20.0,0.03278650622498876,0.011423005617845424,0.014191279079710278,0.05185668640758947,0.0023036491348836,0.0
new35_pz_normal,fixed_residual,0,0.25,0.03498558785556933,0.019297361695807588,0.005365676825787763,0.06701059817499712,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,1,0.5,0.04138432964643308,0.03215749244677788,0.0026826505033763037,0.10374180861762006,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,2,0.75,0.045535657026092795,0.03973828153903525,0.0025341310122424777,0.12338498552937345,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,3,1.0,0.05631039714687028,0.04900073730738842,0.003437146809542854,0.15433674257190647,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,4,1.5,0.09638364320496362,0.07691959039174155,0.006782682839083834,0.2507779121051566,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,5,2.0,0.19647834632834008,0.1399168613192816,0.015916118681400616,0.46643898256211613,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,6,3.0,0.46683014053683725,0.13683526053261494,0.21562112581835563,0.6637237021427332,0.0161637665129859,0.0
new35_pz_normal,fixed_residual,7,20.0,0.0620918982548934,0.04070123081142248,0.006123325126244567,0.14011793794388108,0.0161637665129859,0.0
new47_tz_tumor,free,0,0.25,0.07049356481493216,0.02376180460726181,0.02721086939360592,0.10498988597264008,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,1,0.5,0.07877215362242664,0.059894408114078874,0.00577089275104732,0.1944056235041154,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,2,0.75,0.10481474549137988,0.07646546031191724,0.00889816665206543,0.2507564694658685,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,3,1.0,0.16006110527509904,0.10518614805243674,0.01571809414814284,0.3473646190465306,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,4,1.5,0.23129316102465933,0.12629460507563525,0.027149237331185568,0.4425268257906037,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,5,2.0,0.12671083638193645,0.08896665158799424,0.010096348532232052,0.29453495742001223,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,6,3.0,0.06508488264045904,0.052867610152161425,0.00562371461343689,0.16849507766400704,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,free,7,20.0,0.16276955074910687,0.017702997088516113,0.13100838057364578,0.19006151178877623,0.005722486357088318,0.0014208324495782617
new47_tz_tumor,fixed_formula,0,0.25,0.0946081296051541,0.012746376121314499,0.07041875980757555,0.1118128365456987,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,1,0.5,0.041378327206952885,0.034958018774538656,0.002730241417547148,0.11157048617436298,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,2,0.75,0.06439249850378219,0.05036481011379939,0.004198754294771954,0.16220896942979643,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,3,1.0,0.17307377487461345,0.09043733951664204,0.02513474090205726,0.32214393121741874,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,4,1.5,0.3629521160531102,0.09677235323422109,0.18352791781619424,0.4970864681012929,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,5,2.0,0.062029741946044756,0.053206020096070915,0.003502193923976081,0.16772961654740504,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,6,3.0,0.02456020719994441,0.021247119077428187,0.001427904881501339,0.06692397704010183,0.0021629522817435,0.0
new47_tz_tumor,fixed_formula,7,20.0,0.1770052046103976,0.0070420940510006825,0.1650025361626355,0.18774953308567988,0.0021629522817435,0.0
new47_tz_tumor,fixed_residual,0,0.25,0.06299623164999738,0.026305070196513073,0.015291724475306925,0.10319539074508867,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,1,0.5,0.09053476366571767,0.06532542392410663,0.007114626858780249,0.21647801501599187,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,2,0.75,0.1186880660710674,0.08583807946463541,0.00895641019365701,0.2820798207239252,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,3,1.0,0.15277747810847145,0.10451664803358128,0.013903743691495711,0.3452737175538194,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,4,1.5,0.19554889577989398,0.12482114103037814,0.018573824941336217,0.41521679057965766,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,5,2.0,0.13907456949124591,0.09454054873204158,0.012934216200563444,0.3151731553424798,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,6,3.0,0.0834729365044723,0.06345940149969113,0.005788786058634534,0.21073962184744022,0.007420728791475,0.0
new47_tz_tumor,fixed_residual,7,20.0,0.15690705872913374,0.021822506703093006,0.11967684953133197,0.1908082912269184,0.007420728791475,0.0
new61_tz_normal,free,0,0.25,0.06504810707523961,0.012962900567112473,0.04052192595116863,0.08284179235312752,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,1,0.5,0.0447152892974645,0.03459324544802914,0.0028799407045298295,0.11253770061985953,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,2,0.75,0.054611932506870485,0.03953292180201245,0.004114693529862175,0.1300230561259294,0.0021605524359185574,0.0005836922555290112
new61_tz_normal,free,3,1.0,0.08223547900738881,0.058275811758784116,0.007123713077784695,0.1926465510336542,0.0021605524359185574,0.0005836922555290112
