zone,n,feature,rho_unconditional,p_unconditional,rho_partial_given_adc,p_partial_given_adc,partial_ci_lo,partial_ci_hi,rho_adc_vs_ggg,p_adc_vs_ggg
pz,21,nuts_std_D_0.25,0.3678012674034294,0.10093054987699801,0.21925174527462873,0.35301415500032807,-0.30792723232764924,0.6117286711516653,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_0.50,0.5425770605016239,0.011044078807228071,0.41559903094475004,0.06839556400159519,-0.008763874401426772,0.6870911009912549,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_0.75,0.47378980056739467,0.03003266330408337,0.3320675503598524,0.15260368572045047,-0.058276615826647823,0.636035925297499,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_1.00,0.3327057266206594,0.14057513660955734,0.18426406921265592,0.43675272764033446,-0.24416973911762963,0.6023405857989843,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_1.50,0.028778343441871385,0.9014509385230185,-0.09937361954765038,0.6768018075723132,-0.5557571963975345,0.42052955584282115,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_2.00,-0.28637961278740304,0.20818970308717652,-0.10171955362162885,0.6695814483512463,-0.6085269692642644,0.31017999878713026,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_3.00,-0.16284330923205273,0.4806380474862406,0.22322373719455163,0.344138601240054,-0.3513853093141642,0.6480624382235453,-0.4801069979082933,0.027614878614674085
pz,21,nuts_std_D_20.00,0.21408279877489686,0.3514168160047425,0.37580193023929725,0.10248518728973965,-0.0824596599505724,0.6948236970665183,-0.4801069979082933,0.027614878614674085
tz,8,nuts_D_0.25,0.5646829085612719,0.1447623093054763,-0.01795473928516354,0.969524000771105,-0.6683774902473355,0.8575571210607112,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_0.50,0.3068928850876477,0.4596851913195994,-0.021730751949042018,0.9631174395925926,-0.9282325868969419,0.9355285539274979,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_0.75,-0.03682714621051773,0.9310115084540986,-0.12124298520286204,0.7956809991158886,-0.9943379534781768,0.9345225331892475,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_1.00,-0.20868716185960046,0.6199236393861473,-0.20933906425424725,0.6523505005113166,-0.9954039000135863,0.7225300612714973,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_1.50,-0.6137857701752955,0.10552589403223339,-0.12141932408851787,0.7953882230164402,-0.8351207541699459,0.7289833516498382,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_2.00,-0.15958430024557682,0.7058208200215368,0.38859356882965335,0.3889623835946274,-0.6335812575248003,0.9334959833426552,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_3.00,0.19641144645609454,0.6410902415841975,0.5147079146189414,0.23719226836955132,-0.6089239621599172,0.9941676120778021,-0.6137857701752955,0.10552589403223339
tz,8,nuts_D_20.00,-0.7610943550173663,0.02827313252875805,-0.5709607092682002,0.1806412290896089,-0.9999999999999999,0.6047298953191022,-0.6137857701752955,0.10552589403223339
tz,8,nuts_std_D_0.25,0.23323859266661226,0.5782790921913368,0.20433393681040646,0.6603080504700634,-0.957194287458362,0.9861200957940562,-0.6137857701752955,0.10552589403223339
tz,8,nuts_std_D_0.50,0.23323859266661226,0.5782790921913368,-0.02105314920933041,0.9642669841392042,-0.9175440168115118,0.8926121253455879,-0.6137857701752955,0.10552589403223339
tz,8,nuts_std_D_0.75,-0.03682714621051773,0.9310115084540986,-0.12124298520286204,0.7956809991158886,-0.9464007673998747,0.8470050025099954,-0.6137857701752955,0.10552589403223339
tz,8,nuts_std_D_1.00,-0.19641144645609454,0.6410902415841975,-0.12090201650932457,0.7962471647219087,-0.99211375888373,0.7670480372593852,-0.6137857701752955,0.10552589403223339
tz,8,nuts_std_D_1.50,-0.6137857701752955,0.10552589403223339,-0.12141932408851787,0.7953882230164402,-0.8658398159073584,0.7241114969043267,-0.6137857701752955,0.10552589403223339
